"filename","additional_notes","bill_to.address","bill_to.city","bill_to.name","bill_to.state","bill_to.zip","company.address","company.name","company.phone","contact.email","customer_po","customer_service_email","date","date_shipped","due_date","freight_terms","invoice.branchPlant","invoice.invoiceDate","invoice.invoiceNumber","invoice.salesOrderNumberType","invoice.shipmentNumber","invoice.totalInvoice","invoice_number","order_date","page","paymentTerms.netDueDate","paymentTerms.terms","pro_number","remit_to.address","remit_to.city","remit_to.fax","remit_to.name","remit_to.phone","remit_to.state","remit_to.zip","sales_agent","shipTo.address","shipTo.customerNumber","shipTo.name","ship_to.address","ship_to.city","ship_to.name","ship_to.state","ship_to.zip","shipped_via","shipping.FOBDescription","shipping.POReleaseSalesAgentNumber","shipping.customerPONumber","shipping.shipVia","shipping_info.bill_of_lading","shipping_info.freight_terms","shipping_info.pro_number","shipping_info.shipped_via","soldTo.address","soldTo.customerNumber","soldTo.name","taxInfo.salesTax","taxInfo.taxRate","terms","totals.merchandise_total","totals.sales_tax","totals.taxable_sales","totals.total_due","website"
"Saucony Creek Brewing Company LLC Affiliate Agreement 8-19-24.pdf.jpg.json",,"15032 Kutztown Road, Kutztown, PA 19530",,"Saucony Creek Brewing Company LLC",,,,,,"kirby@sauconybeer.com",,,,,,,,,"491d27ca08672cd2f13eff3fdc046bc7534de0e9",,,,,,,,,,"15032 Kutztown Road, Kutztown, PA 19530",,,"Saucony Creek Brewing Company LLC",,,,,,,,"15032 Kutztown Road, Kutztown, PA 19530",,"Saucony Creek Brewing Company LLC",,,,,,,,,,,,,,,,,,,,,,
"20240304 All About Graphics - Helltown.pdf.jpg.json",,,,"Helltown Brewing",,,,,,,"",,"3/4/24","",,,,,,,,,"00003695",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3457,0,,3457,
"20240320 S&S Activewear - Ore Dock Invoice 72461733.pdf.jpg.json",,"114 W Superior St, Marquette, MI 49855",,"On Deck Brewing Co. (669700)",,,"220 Remington Blvd, Bolingbrook, IL, 60440","S&S Activewear","800-523-2155",,"4358387-00","info@ondeckbrewingcompany.com","3/29/2024 4:36 PM EST","3/29/2024 4:36 PM EST",,,,,,,,,"72661733","3/29/2024",,,,,"8089 Solutions Center, Chicago, IL 60677-8000",,,"S&S Activewear, LLC",,,,,,,,"114 W Superior Street, Marquette, MI 49855",,"Repeater Press",,,,,,,,,,,,,,,,,,,,,,
"20240321 S&S Activewear - Ore Dock Invoice 72461744.pdf.jpg.json","Warehouse: Independent, CA (DS)
You saved $37.33 on shipping.
Shipping Method: UPS Ground
Billing Method: Net 30
1 Box, 15 Items, 17 lbs.","114 W Spring St","Marquette","Ten On Deck Brewing Co.","MI","49855",,,,,"REPA45780",,"3/15/2024","3/21/2024",,,,,,,,,"72461294","3/15/2024",,,,,"8089 Solutions Center","Chicago",,"S&S Activewear, LLC",,"IL","60677-8000",,,,,"923 N Lakeshore Blvd","Marquette","Reynsteen Press","MI","49855",,,,,,,,,"UPS Ground",,,,,,"Web",233.55,,,233.55,
"20240416 Mad Cow Screen Print - Hobbs.pdf.jpg.json",,"925 Route 16 Bld. #1, Ossipee, NH 03864",,"Hobbs Tavern",,,,,,,"old man logo","madcownh@aol.com","4/16/2024","4/16/2024",,,,,,,,,"14092",,,,"",,,,,,,,,,,,,,,"Mad Cow Screen Print",,,,,,,,,,,,,,,,,,,0,,1738,"www.madcowscreenprint.com"
"20240425 Mad Cow Screen Print - Hobbs.pdf.jpg.json",,,,"Hobbs Tavern",,,,,,"madcownh@aol.com","hayloft shirts",,"4/25/2024","4/25/2024","4/25/2024",,,,,,,,"14109",,,,,,,,,,,,,,,,,"925 Route 16 Bld. #1, Ossipee, NH 03864",,"Mad Cow Screen Print",,,,,,,,,,,,,,,,,"",,0,,1075.5,"www.madcowscreenprint.com"
"20240502 L2 Brands - Hobbs  IN24127344 Apparel.pdf.jpg.json",,,,,,,,,,,"040924Ash",,"5/2/2024",,"06/01/2024",,,,,,,,"IN24127344",,"1 of 1",,,,"300 Fame Ave, Hanover, PA 17331",,,"L2 Brands, LLC",,,,"622",,,,"51 Mill St - Building F, Hanover, MA 02339, USA",,"Hobbs Brewery- Belize",,,"FEDEX Ground",,,,,,,,,,,,,,,,,,715.69,
"20240502 L2 Brands - Hobbs apparel.pdf.jpg.json",,,,,,,,,,,"040924Ash",,"5/2/2024",,"06/01/2024",,,,,,,,"IN24126176",,,,,,"300 Fame Ave, Hanover, PA 17331",,"(717) 630-0827","L2 Brands, LLC","(717) 630-0892",,,"622","51 Mill St - Building F, Hanover, MA 02339, USA",,"Hobbs Brewery- Belize",,,,,,,,,,,,,,"FEDEX Ground","756 Route 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing Company LLC",,,"N30",740.8,0,,740.8,
"20240509 L2 Brands - Hobbs IN24135501 Apparel.pdf.jpg.json",,"756 Route 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing Company LLC",,,,,,,,,"2024-05-09",,"2024-06-08",,,,,,,,"IN24135501",,,,,,"300 Fame Ave, Hanover, PA 17331, USA",,,"L2 Brands, LLC",,,,"622",,,,"765 NH Route 16, Ossipee, NH 03864, USA",,"Hobbs Brewing Co",,,"FEDEX Ground",,,,,,,,"FEDEX Ground","756 Route 16, Ossipee, NH 03864, USA",19467,"Hobbs Tavern & Brewing Company LLC",,,"N30",816.9,0,,816.9,
"20240517 Mad Cow Screen Print - Hobbs zip up.pdf.jpg.json",,,,"Hobbs Tavern",,,,,,,"tavern sweats","madcownh@aol.com","5/17/2024","5/17/2024","5/17/2024",,,,,,,,"14165",,,,,,,,,,,,,,,,,"925 Route 16 Bld. #1, Ossipee, NH 03864",,"Mad Cow Screen Print",,,,,,,,,,,,,,,,,,2506,0,,2506,"www.madcowscreenprint.com"
"20240520 All About Graphics - Helltown Inv00003725-merch.pdf.jpg.json",,,,"Helltown Brewing",,,,,,,,,"5/20/24",,"",,,,,,,,"00003725",,"1",,,,,,,,,,,,,,,,,"Helltown Brewing",,,,,,,,,"",,,,,,,,"",2762.5,,,2762.5,
"20240610 - L2Brands, LLC IN24169044 - Hobbs.pdf.jpg.json",,"756 Route 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing Company LLC",,,,,,,,,"6/10/2024",,"07/10/2024",,,,,,,,"IN24169044",,,,,,"300 Fame Ave, Hanover, PA 17331",,,"L2 Brands, LLC",,,,,,,,"765 NH Route 16, Ossipee, NH 03864, USA",,"Hobbs Brewing Co",,,"FEDEX Ground",,,,,,,,,"756 Route 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing Company LLC",,,,,,,800.34,
"20240702 - Mad Cow Screen Print - Hobbs brewing.pdf.jpg.json",,,,"Hobbs Tavern",,,,,,,"brewing co","madcownh@aol.com","7/2/2024","7/2/2024","7/2/2024",,,,,,,,"14280",,,,,,,,,,,,,,,,,"925 Route 16 Bld. #1, Ossipee, NH 03864",,"Mad Cow Screen Print",,,,,,,,,,,,,,,,,,882.1,0,,882.1,"www.madcowscreenprint.com"
"20240708 - Mad Cow Screen Print - lake life - Hobbs.pdf.jpg.json",,,,"Hobbs Tavern",,,,,,"madcownh@aol.com","lake life",,"7/8/2024","7/8/2024","7/8/2024",,,,,,,,"14284",,,,,,,,,,,,,,,,,"925 Route 16 Bld. #1","Ossipee","Mad Cow Screen Print","NH","03864",,,,,,,,,,,,,,,"Due Date",1296.2,0,,1296.2,
"20240712 - L2Brands, LLC IN24203384 - Hobbs.pdf.jpg.json",,,,,,,,,,,,,"7/12/2024",,"08/11/2024",,19467,"7/12/2024","IN24203384","062724Kasey",622,"450.11","IN24203384","7/12/2024",,,,,"300 Fame Ave, Hanover, PA 17331",,,,,,,"622","765 NH Route 16, Ossipee, NH 03864, USA",,"Hobbs Brewing Co",,,,,,,,,,,,"N30",,"FEDEX Ground","756 Route 16, Ossipee, NH 03864, USA",19467,"Hobbs Tavern & Brewing Company LLC",,,"N30",450.11,0,,450.11,
"20240712 - L2Brands, LLC IN24203743 - Hobbs.pdf.jpg.json",,,,,,,,,,,"062724Kasey",,"7/12/2024",,"08/11/2024",,,,,,,,"IN24203743",,,,,,"{""street"":""300 Fame Ave"",""city"":""Hanover"",""state"":""PA"",""postal_code"":""17331""}",,,"L2 Brands, LLC",,,,"622",,,,"765 NH Route 16","Ossipee","Hobbs Brewing Co","NH","03864",,,,,,,,,"FEDEX Ground",,,,,,,,,,"1,360.38",
"20240718 L2Brands, LLC IN24209423 - Hobbs.pdf.jpg.json",,"756 Route 16","Ossipee","Hobbs Tavern & Brewing Company LLC","NH","03864",,,,,,,"7/18/2024",,"08/17/2024",,,,,,,,"IN24209423",,,,,,"{""street"":""300 Fame Ave"",""city"":""Hanover"",""state"":""PA"",""postal_code"":""17331""}",,,"L2 Brands, LLC",,,,,,,,"765 NH Route 16","Ossipee","Hobbs Brewing Co","NH","03864",,,,,,,,,"FEDEX Ground",,,,,,"N30",,,,461.51,
