"filename","items[].additionalInfo.DNR","items[].additionalInfo.GW","items[].additionalInfo.LotSN","items[].additionalInfo.capacity","items[].amount","items[].description","items[].extendedPrice","items[].itemNumber","items[].item_code","items[].lineNumber","items[].priceUOM","items[].qtyShipped","items[].tax","items[].total_quantity","items[].transUOM","items[].unitPrice","items[].unit_price","items[].units_ordered","items[].units_shipped","items[].weightNetGross"
"20240304 All About Graphics - Helltown.pdf.jpg.json",,,,,790.5,"Kelly Green Tee Shirts (Brewmuta)",,,1,,,,,,,,8.5,93,,
"20240304 All About Graphics - Helltown.pdf.jpg.json",,,,,231,"Kelly Green Tee Shirts 2X-3X (Brewmuta)",,,1,,,,,,,,10.5,22,,
"20240304 All About Graphics - Helltown.pdf.jpg.json",,,,,1921,"Red V-Neck Tees",,,1,,,,,,,,8.5,226,,
"20240304 All About Graphics - Helltown.pdf.jpg.json",,,,,514.5,"Red V-Neck Tees 2X-3X",,,1,,,,,,,,10.5,49,,
"20240320 S&S Activewear - Ore Dock Invoice 72461733.pdf.jpg.json",,,,,6.67,"Comfort Colors - Garment-Dyed Lightweight T-Shirt - 4017",,,"0085066",,,,,,,,6.67,1,,
"20240320 S&S Activewear - Ore Dock Invoice 72461733.pdf.jpg.json",,,,,11.67,"Next Level - CVC T-Shirt - 6210",,,"2061904",,,,,,,,3.89,3,,
"20240320 S&S Activewear - Ore Dock Invoice 72461733.pdf.jpg.json",,,,,23.94,"Next Level - CVC T-Shirt - 6210",,,"2061905",,,,,,,,3.99,6,,
"20240320 S&S Activewear - Ore Dock Invoice 72461733.pdf.jpg.json",,,,,35.91,"Next Level - CVC T-Shirt - 6210",,,"2061906",,,,,,,,3.99,9,,
"20240320 S&S Activewear - Ore Dock Invoice 72461733.pdf.jpg.json",,,,,23.94,"Next Level - CVC T-Shirt - 6210",,,"2061907",,,,,,,,3.99,6,,
"20240320 S&S Activewear - Ore Dock Invoice 72461733.pdf.jpg.json",,,,,10.9,"Next Level - CVC T-Shirt - 6210",,,"2061907",,,,,,,,5.46,2,,
"20240320 S&S Activewear - Ore Dock Invoice 72461733.pdf.jpg.json",,,,,12.56,"Dyenomite - Splatter T-Shirt - 20SPL",,,"8384069",,,,,,,,6.28,2,,
"20240321 S&S Activewear - Ore Dock Invoice 72461744.pdf.jpg.json",,,,,93.42,"Independent Trading Co. - Icon Lightweight Loopback Terry Full-Zip Hooded Sweatshirt - IND40Z",,,"1M24254",,,,,,,,15.57,6,,
"20240321 S&S Activewear - Ore Dock Invoice 72461744.pdf.jpg.json",,,,,140.13,"Independent Trading Co. - Icon Lightweight Loopback Terry Full-Zip Hooded Sweatshirt - IND40Z",,,"1M24255",,,,,,,,15.57,9,,
"20240416 Mad Cow Screen Print - Hobbs.pdf.jpg.json",,,,,1598,"District made mens tee red frost and black frost with 2 color front sm-16 med-16 lg-20 xl-20 xxl-20 3x-4 4x-4 of each color",,,"dm130",,,,,,,,7.99,200,,
